Station Name,State name,District / Town,Basin Name,River Name,Latitude,longitude,Division Name,Type Of Site
Motipur,Uttar Pradesh,Lakhimpur Kheri,Ganga,Suheli,28.348333333333333,80.92083333333333,"Middle Ganga Division-I(MGD-I), Lucknow",Base
Kakripara,Assam,South Salmara-Mankachar,Brahmaputra,Jinjiram,25.511944444444445,89.87222222222222,"Middle Brahmaputra Division (MBD), Guwahati",Base
Mandi_BBMB,Himachal Pradesh,MANDI,Indus,Beas,31.7130555555556,76.9333333333333,Executive Engineer-I/ NHP BBMB Chandigarh,Base
Numaligarh,Assam,GOLAGHAT,Brahmaputra,Dhansiri (South),26.63138888888889,93.73111111111112,"Upper Brahmaputra Division (UBD), Dibrugarh",Level
Kinjer,Bihar,ARWAL,Ganga,Punpun,25.218055555555555,84.82583333333334,"Lower Ganga Division-II(LGD-II), Patna",Base
Gudha Dam,Madhya Pradesh,SHAJAPUR,Ganga,Mej,25.489444444444445,75.46722222222222,"Chambal Division(CD), Jaipur",Inflow
Daroli,Himachal Pradesh,KANGRA,Indus,Beas,31.829166666666666,76.2625,"Snow Hydrology Division(SHD), Shimla",Base
Salandi Reservoir,Odisha,KENDUJHAR,Brahmani and Baitarni,Baitarani,21.279999999999998,86.3,"Eastern Rivers Division(ERD), Bhubaneswar",Inflow
KHOLWAD(KATHORE),Gujarat,Surat,Tapi,Tapi,21.284722222222225,72.95055555555555,"Executive Engineer, Tapi Division, Surat",Base
KULSI,Assam,KAMRUP,Brahmaputra,Kulsi,25.979166666666664,91.38583333333334,"Middle Brahmaputra Division (MBD), Guwahati",Base
PUDUR,Kerala,PALAKKAD,West flowing rivers from Tadri to Kanyakumari,Kannadipuzha,10.777500000000002,76.51222222222222,"Southern Western River Division(SWRD), Kochi",Base
Miao,Arunachal Pradesh,CHANGLANG,Brahmaputra,Nao Dehing,27.49361111111111,96.21916666666667,"Upper Brahmaputra Division (UBD), Dibrugarh",Base
Padampur,Odisha,BARGARH,Mahanadi,Ong,21.015833333333333,83.10305555555556,"Mahanadi Division(MD), Burla",Base
Indo-Nepal Border (Bhutahi),Bihar,SITAMARHI,Ganga,Ganga,26.698611111111113,85.5411111111111,"Lower Ganga Division-I(LGD-I), Patna",Base
Surajgarh,Chhattisgarh,RAIGARH,Mahanadi,Mahanadi,21.69361111111111,83.37722222222222,"Mahanadi Division(MD), Burla",Base
NALLAMARANPATTY,Tamil Nadu,Karur,Cauvery,Amaravathi,10.880833333333333,77.98472222222222,"Southern River Division(SRD), Coimbatore",Base
Jawali_BBMB,Himachal Pradesh,KANGRA,Indus,-,32.1466666666667,76.0244444444444,Executive Engineer-I/ NHP BBMB Chandigarh,Base
Samastipur,Bihar,SAMASTIPUR,Ganga,Burhi Gandak,25.860833333333336,85.80499999999999,"Lower Ganga Division-I(LGD-I), Patna",Level
Pauni,Maharashtra,Bhandara,Godavari,Wainganga,20.795,79.64944444444446,"Wainganga Division(WD), Nagpur",Level
REWA,Madhya Pradesh,REWA,Ganga,Tons,24.774444444444445,81.25972222222222,"Middle Ganga Division-III(MGD-III), Varanasi",Base
Koyna,Maharashtra,Satara,Krishna,Koyna,17.4,73.75,"Upper Krishna Division(UKD), Pune",Inflow
SAYGAON,Maharashtra,Jalgaon,Tapi,-,20.50777777777778,74.795,"Executive Engineer, Tapi Division, Surat",Base
MURUMSILLI,Chhattisgarh,DHAMTARI,Mahanadi,-,20.611111111490164,81.68166666636755,"Mahanadi Division(MD), Burla",Base
Chauhan Patti,Uttar Pradesh,KUSHINAGAR,Ganga,Ghaghi,26.699444444444445,83.98777777777778,"Middle Ganga Division-I(MGD-I), Lucknow",Base
CHILLAGHAT,Uttar Pradesh,BANDA,Ganga,Yamuna,25.771666666666665,80.53,"Lower Yamuna Division(LYD), Agra",Level
KALLIDAIKURICHHI,Tamil Nadu,Tirunelveli,East flowing rivers between Pennar and Kanyakumari,Tambraparani,8.693333333333333,77.46583333333334,"Southern River Division(SRD), Coimbatore",Base
Sandi,Uttar Pradesh,HARDOI,Ganga,Deoha,27.271666666666665,79.95,"Middle Ganga Division-II(MGD-II), Lucknow",Base
Patacharkuchi,Assam,BARPETA,Brahmaputra,-,26.505,91.23666666666666,"Middle Brahmaputra Division (MBD), Guwahati",Base
Koteshwar,Uttarakhand,Tehri Garhwal,Ganga,Bhagirathi,30.265777777777778,78.50313888888888,"Himalayan Ganga Division,Haridwar",Base
