State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
5,65,334,0,0,0,SUB-DISTRICT,Champawat,Urban,1172,4801,2543,2258,554,317,237,893,470,423,45,24,21,3894,2135,1759,907,408,499,1356,1103,253,1292,1058,234,82,51,31,7,4,3,40,37,3,1163,966,197,64,45,19,9,6,3,12,10,2,3,1,2,40,28,12,58,41,17,8,6,2,8,6,2,3,1,2,39,28,11,6,4,2,1,0,1,4,4,0,0,0,0,1,0,1,3445,1440,2005
5,65,334,800328,0,0,TOWN,Champawat (NP),Urban,1172,4801,2543,2258,554,317,237,893,470,423,45,24,21,3894,2135,1759,907,408,499,1356,1103,253,1292,1058,234,82,51,31,7,4,3,40,37,3,1163,966,197,64,45,19,9,6,3,12,10,2,3,1,2,40,28,12,58,41,17,8,6,2,8,6,2,3,1,2,39,28,11,6,4,2,1,0,1,4,4,0,0,0,0,1,0,1,3445,1440,2005
5,65,334,800328,1,0,WARD,Champawat (NP) WARD NO.-0001,Urban,239,1084,565,519,129,79,50,453,234,219,5,3,2,828,456,372,256,109,147,172,147,25,157,134,23,0,0,0,1,1,0,0,0,0,156,133,23,15,13,2,1,1,0,7,6,1,1,1,0,6,5,1,15,13,2,1,1,0,7,6,1,1,1,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,912,418,494
5,65,334,800328,2,0,WARD,Champawat (NP) WARD NO.-0002,Urban,216,876,447,429,97,51,46,107,52,55,1,1,0,747,393,354,129,54,75,265,218,47,240,198,42,4,4,0,1,0,1,9,9,0,226,185,41,25,20,5,5,5,0,1,0,1,0,0,0,19,15,4,25,20,5,5,5,0,1,0,1,0,0,0,19,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611,229,382
5,65,334,800328,3,0,WARD,Champawat (NP) WARD NO.-0003,Urban,206,840,452,388,89,52,37,171,98,73,13,5,8,684,386,298,156,66,90,291,225,66,290,225,65,61,31,30,1,1,0,4,4,0,224,189,35,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,549,227,322
5,65,334,800328,4,0,WARD,Champawat (NP) WARD NO.-0004,Urban,511,2001,1079,922,239,135,104,162,86,76,26,15,11,1635,900,735,366,179,187,628,513,115,605,501,104,17,16,1,4,2,2,27,24,3,557,459,98,23,12,11,3,0,3,4,4,0,2,0,2,14,8,6,18,8,10,2,0,2,0,0,0,2,0,2,14,8,6,5,4,1,1,0,1,4,4,0,0,0,0,0,0,0,1373,566,807
5,65,335,0,0,0,SUB-DISTRICT,Pati,Total,8467,45504,23038,22466,7022,3607,3415,8058,4239,3819,5,0,5,31092,18254,12838,14412,4784,9628,18335,10443,7892,11078,6925,4153,8054,4594,3460,214,157,57,121,102,19,2689,2072,617,7257,3518,3739,6414,2981,3433,247,131,116,107,42,65,489,364,125,5262,2786,2476,4536,2308,2228,188,110,78,103,40,63,435,328,107,1995,732,1263,1878,673,1205,59,21,38,4,2,2,54,36,18,27169,12595,14574
5,65,335,0,0,0,SUB-DISTRICT,Pati,Rural,8467,45504,23038,22466,7022,3607,3415,8058,4239,3819,5,0,5,31092,18254,12838,14412,4784,9628,18335,10443,7892,11078,6925,4153,8054,4594,3460,214,157,57,121,102,19,2689,2072,617,7257,3518,3739,6414,2981,3433,247,131,116,107,42,65,489,364,125,5262,2786,2476,4536,2308,2228,188,110,78,103,40,63,435,328,107,1995,732,1263,1878,673,1205,59,21,38,4,2,2,54,36,18,27169,12595,14574
5,65,335,0,0,0,SUB-DISTRICT,Pati,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,65,336,0,0,0,SUB-DISTRICT,Lohaghat,Total,18449,86477,42501,43976,12361,6639,5722,17786,8922,8864,127,65,62,58706,33259,25447,27771,9242,18529,34918,18792,16126,17492,11239,6253,10675,5822,4853,309,239,70,285,230,55,6223,4948,1275,17426,7553,9873,14778,5714,9064,625,314,311,320,170,150,1703,1355,348,13273,5852,7421,11124,4312,6812,448,247,201,261,138,123,1440,1155,285,4153,1701,2452,3654,1402,2252,177,67,110,59,32,27,263,200,63,51559,23709,27850
